Actual,Predicted
[0.36000001430511475],[0.7125584483146667]
[0.625072181224823],[0.34963589906692505]
[0.8538800477981567],[0.4108004868030548]
[0.41999998688697815],[0.710311770439148]
[0.5199999809265137],[0.710311770439148]
[0.877101719379425],[0.6538420915603638]
[0.3400000035762787],[0.710311770439148]
[0.1829134076833725],[0.4108004868030548]
[0.14728401601314545],[0.24314406514167786]
[0.5671195983886719],[0.5828931927680969]
[0.9700000286102295],[0.7125584483146667]
[0.5899999737739563],[0.710311770439148]
[0.5199999809265137],[0.710311770439148]
[0.7675807476043701],[0.6255704164505005]
[0.12044444680213928],[0.21599751710891724]
[0.08518201857805252],[0.22626405954360962]
[0.9100000262260437],[0.6193937063217163]
[-0.06051583215594292],[0.1653553545475006]
[0.86031574010849],[0.5599658489227295]
[0.949999988079071],[0.7125584483146667]
[0.22589197754859924],[0.23377618193626404]
[0.9994778633117676],[0.6538420915603638]
[0.147609144449234],[0.19934093952178955]
[1.0],[0.6193937063217163]
[0.18000000715255737],[0.7125584483146667]
[0.7300000190734863],[0.7125584483146667]
[-0.06355477124452591],[0.1988506317138672]
[0.3284946084022522],[0.37562161684036255]
[0.3199999928474426],[0.7125584483146667]
[0.25999999046325684],[0.6193937063217163]
[-0.02982657589018345],[0.19934093952178955]
[0.2588858902454376],[0.19927483797073364]
[0.68083655834198],[0.6255704164505005]
[0.14000000059604645],[0.6193937063217163]
[0.5696965456008911],[0.6255704164505005]
[-0.09425815939903259],[0.22600746154785156]
[0.554335355758667],[0.5828931927680969]
[0.9552882313728333],[0.6255704164505005]
[-0.0844455435872078],[0.07899376004934311]
[0.8500000238418579],[0.7125584483146667]
[0.11069227755069733],[0.5356864929199219]
[0.890353262424469],[0.6538420915603638]
[0.4300000071525574],[0.710311770439148]
[1.0],[0.7125584483146667]
[1.0],[0.6193937063217163]
[0.49000000953674316],[0.710311770439148]
[0.019999999552965164],[0.7125584483146667]
[0.3297310173511505],[0.19927826523780823]
[0.3499999940395355],[0.710311770439148]
[0.18999528884887695],[0.253811776638031]
[1.0],[0.710311770439148]
[0.39185887575149536],[0.4591331481933594]
[0.8199999928474426],[0.6193937063217163]
[0.10000000149011612],[0.6193937063217163]
[0.5],[0.7125584483146667]
[0.5],[0.7125584483146667]
[0.7599999904632568],[0.6193937063217163]
[0.8700000047683716],[0.710311770439148]
[0.28978395462036133],[0.6538420915603638]
[0.780629575252533],[0.6538420915603638]
[0.5885595083236694],[0.4591331481933594]
[0.4000000059604645],[0.710311770439148]
[0.4699999988079071],[0.7125584483146667]
[0.3700000047683716],[0.710311770439148]
[0.17389944195747375],[0.24078238010406494]
[0.9881393313407898],[0.5818983316421509]
[0.5799999833106995],[0.7125584483146667]
[0.9100000262260437],[0.7125584483146667]
[-0.16140858829021454],[-0.06324612349271774]
[0.10895144939422607],[0.4591331481933594]
[-0.009289753623306751],[0.19927483797073364]
[0.7900000214576721],[0.7125584483146667]
[0.33000001311302185],[0.6193937063217163]
[0.8899999856948853],[0.7125584483146667]
[-0.020452415570616722],[0.17851179838180542]
[0.809730589389801],[0.19934093952178955]
[1.0],[0.6193937063217163]
[0.75],[0.6193937063217163]
[0.7385903000831604],[0.4591331481933594]
[0.5799999833106995],[0.7125584483146667]
[0.4004642367362976],[0.19927483797073364]
[1.0],[0.6193937063217163]
[0.3179923892021179],[0.1990673840045929]
[1.0],[0.6193937063217163]
[0.8700000047683716],[0.6193937063217163]
[0.20575642585754395],[0.4108004868030548]
[0.38999998569488525],[0.710311770439148]
[0.4399999976158142],[0.7125584483146667]
[0.02786930277943611],[0.330666720867157]
[0.2800000011920929],[0.6193937063217163]
[-0.17697101831436157],[-0.06324612349271774]
[0.4699999988079071],[0.6193937063217163]
[0.8274666666984558],[0.5599658489227295]
[0.47999998927116394],[0.710311770439148]
[0.28999999165534973],[0.7125584483146667]
[0.3199999928474426],[0.710311770439148]
[-0.05586163327097893],[0.19910311698913574]
[0.7144850492477417],[0.5814944505691528]
[0.8949477076530457],[0.5814944505691528]
[0.03171267732977867],[0.24136561155319214]
[0.6367473602294922],[0.19910311698913574]
[0.3199999928474426],[0.710311770439148]
[-0.04702794551849365],[-0.06324612349271774]
[0.7799999713897705],[0.6193937063217163]
[0.036748871207237244],[0.1990673840045929]
[0.595196008682251],[0.1653553545475006]
[1.0],[0.6193937063217163]
[0.03999825939536095],[0.22600746154785156]
[0.597461462020874],[0.19934093952178955]
[-0.13020843267440796],[0.24314406514167786]
[-0.06367062777280807],[0.24314406514167786]
[0.3726719915866852],[0.6538420915603638]
[0.054071199148893356],[0.24078238010406494]
[0.008535592816770077],[0.20496749877929688]
[0.06449591368436813],[0.22174769639968872]
[0.1391841024160385],[0.22600746154785156]
[0.47999998927116394],[0.7125584483146667]
[1.0],[0.710311770439148]
[-0.015294571407139301],[0.24078238010406494]
[0.30000001192092896],[0.7125584483146667]
[0.07906681299209595],[0.21599751710891724]
[0.0784236267209053],[0.19934093952178955]
[0.5799999833106995],[0.6193937063217163]
[0.14569403231143951],[0.253811776638031]
[1.0],[0.4108004868030548]
[0.49546805024147034],[0.44603145122528076]
[0.11999999731779099],[0.710311770439148]
[0.029752200469374657],[0.330666720867157]
[1.0],[0.710311770439148]
[0.03255464881658554],[0.34963589906692505]
[0.9599999785423279],[0.710311770439148]
[0.8231463432312012],[0.5599658489227295]
[0.9077903032302856],[0.4591331481933594]
[0.9421034455299377],[0.24314406514167786]
[0.15000000596046448],[0.7125584483146667]
[-0.19960249960422516],[0.5818983316421509]
[1.0],[0.710311770439148]
[0.20999999344348907],[0.6193937063217163]
[0.7568082809448242],[0.5356864929199219]
[1.0],[0.6193937063217163]
[-0.03583025559782982],[0.330666720867157]
[0.7131586670875549],[0.37562161684036255]
[0.7793198823928833],[0.5599658489227295]
[1.0],[0.6193937063217163]
[0.2788965404033661],[0.5828931927680969]
[0.7831394076347351],[0.6538420915603638]
[-0.03844289481639862],[0.1988506317138672]
[0.699999988079071],[0.6193937063217163]
[-0.2425798922777176],[0.21599751710891724]
[0.38590046763420105],[0.4591331481933594]
[0.9100000262260437],[0.7125584483146667]
[0.46966665983200073],[0.4591331481933594]
[0.4507858157157898],[0.5818983316421509]
[-0.09227854758501053],[0.17851179838180542]
[0.6600000262260437],[0.710311770439148]
[0.4399999976158142],[0.710311770439148]
[0.04648848995566368],[0.19927483797073364]
[0.006735286209732294],[0.19927483797073364]
[0.38999998569488525],[0.7125584483146667]
[-0.04004646837711334],[0.330666720867157]
[-0.10336986184120178],[0.19927826523780823]
[0.6454874873161316],[0.5814944505691528]
[0.30945757031440735],[0.6538420915603638]
[0.3400000035762787],[0.6193937063217163]
